Group.1	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC	Ecotype	Pair
D00	0.621983977	1.198024451	-0.464883471	0.578899924	0.52990182	1.182494046	-0.067477678	-0.43397229	0.040597367	Dune	D00-H00
D01	0.664806796	0.137795894	0.069686155	-0.190349278	0.772930977	1.107148803	-0.15956136	0.388194896	-0.453006409	Dune	D01-H01
D02	1.242182092	0.691266019	0.390343327	0.852070822	0.85751374	1.409936251	-0.317370966	-0.294760467	-0.117829443	Dune	D02-H04
D03	1.063231628	0.664778665	0.326995867	0.763114886	0.825798219	1.144325747	-0.206698863	-0.141395036	-0.042795051	Dune	D03-H02
D04	1.244546341	1.232707411	0.620366063	1.006436826	0.722693637	0.961983175	-0.549776982	-0.132522552	-0.438128943	Dune	D04-H05
D05	0.570666172	0.279813142	0.175165727	0.525887606	0.307999655	0.05356409	-0.607163143	-0.217977897	-1.028671118	Dune	D05-H06
D12	1.21522571	0.278764531	0.657709989	0.267086114	0.846616163	0.580142888	-1.328391324	-0.555888729	-1.572591392	Dune	D12-H14
D32	0.161347331	-0.445421049	0.786542168	0.255373959	0.48361209	0.203134953	-0.481780206	-0.42636	-0.38214211	Dune	D32-H12
H00	-0.531718789	0.549688205	-0.287484824	-0.147222863	-0.501560168	-0.771980613	0.116710943	-0.334056888	0.084871099	Headland	D00-H00
H01	-0.079374045	0.413011633	0.135714406	0.066084719	-0.344587859	-0.325822684	0.828755969	0.954676655	0.290114008	Headland	D01-H01
H04	-0.720781576	-0.315317087	-0.650766444	-1.024405183	-0.556662826	-0.558788046	1.639858939	2.335878906	-0.705092086	Headland	D02-H04
H02	-1.302466286	-0.953450951	-0.743215021	-1.002618394	-0.871966991	-0.736570321	0.548763471	-0.064253955	1.064778834	Headland	D03-H02
H05	-0.644934058	0.33236658	-0.519123836	-0.042636862	-1.056971512	-1.210924045	0.032357302	-0.24417873	0.392247284	Headland	D04-H05
H06	-0.207893429	-0.091372759	-0.915316593	0.059614909	-1.015231597	-0.361265877	0.209776952	-0.335197811	0.861611642	Headland	D05-H06
H14	-0.740122923	-0.429734362	-0.338551077	-0.104633468	-0.660421829	-0.385482807	0.505608221	0.748830848	-0.272569778	Headland	D12-H14
H12	-1.635429431	-0.941190385	-0.513926575	-0.695907454	-1.067560398	-1.583975261	1.743130029	0.471194193	2.335498287	Headland	D32-H12
