Pair	Ecotype	Population.ID	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC
D00-H00	Dune	D00	1.116371016	1.75323792	-1.069819936	1.521524622	0.817727683	0.771432316	0.21161614	-0.407134176	0.615288699
D00-H00	Dune	D00	1.457501703	1.643186242	1.075955086	1.65420952	0.817727683	1.00147355	0.692135392	-0.133693679	0.258882853
D00-H00	Dune	D00	0.766809802	2.150554686	-1.069819936	0.850089034	0.916947912	1.704571181	0.491777464	-0.009012568	0.628293052
D00-H00	Dune	D00	0.960506836	1.844363566	-1.069819936	1.350601534	0.817727683	1.042518289	0.410380881	-0.377536186	0.292427618
D00-H00	Dune	D00	0.409460684	1.729678526	-1.069819936	2.113706599	0.326025387	1.245735801	-0.662885766	-0.640883088	-0.406704822
D00-H00	Dune	D00	0.19534687	1.421525557	0.636492963	1.579779276	0.326025387	0.187451217	0.096382226	-0.455853817	-0.712331517
D00-H00	Dune	D00	-0.17436222	1.24556656	-1.069819936	-0.381352266	-1.361107807	-0.022543869	-0.283877873	-0.619544726	-0.734450366
D00-H00	Dune	D00	1.151038386	1.28701853	-1.069819936	-0.021970562	1.038783841	1.603754158	0.89636122	-0.119786185	0.147668631
D00-H00	Dune	D00	0.627278218	1.689678315	-1.069819936	0.397901799	0.541848705	1.703411951	-0.577495663	-0.659331812	0.131938194
D00-H00	Dune	D00	0.980276486	0.796416786	-1.069819936	0.517295731	0.916947912	1.777338249	0.603220924	-0.279700866	0.361818057
D00-H00	Dune	D00	0.419769181	-0.080278121	-1.069819936	0.155451226	0.916947912	-0.024594914	-0.65479647	-0.645810775	-0.609827075
D00-H00	Dune	D00	0.863845114	1.114830441	-1.069819936	1.343891249	0.916947912	1.543667901	-0.425685881	-0.551054219	-0.001706815
D00-H00	Dune	D00	0.71124036	1.005767702	-1.069819936	0.217164633	0.960604622	1.80668509	0.334813304	-0.416068524	0.508777642
D00-H00	Dune	D00	0.409460684	1.806981766	-1.069819936	0.228206265	0.696781674	1.796431034	-0.460927728	-0.586751003	-0.164879383
D00-H00	Dune	D00	0.470066206	1.148461576	0.854769809	-0.600896129	0.541848705	0.923977888	-0.263528224	-0.523571213	0.059916486
